faculty,institution
"Tjernctrom, Sune;Stockholm University;1979",Umea University
"Tocco, Anthony L.;Saint Louis University;1986",Rockhurst University
"Todd, Edward;University of Chicago;1969",Empire State College
"Tokic, Dmir;University of Texas, Pan American;2003",University of Houston-Downtown
"Tolin, Thomas;University of Houston;1992",West Chester University
"Tollen, Robert D.;University of Texas at Austin;1972","University of Texas, El Paso"
"Tombe, Wani Luan;University of Texas at Austin;1985",St. Edward's University
"Tomlin, Sharynn;University of North Texas;1997",Angelo State University
"Tomlinson, William H.;American College;1974",University of North Florida
"Tompkins, Donald;Ohio State University;1972",Slippery Rock University
"Tong, Alvin;University of Minnesota",Oregon Health & Science University
"Tong, Chris;University of Utah",Westminster College (Utah)
"Tonietti, Marco E.;Saint Louis University;1972","California State University, Fullerton"
"Tontz, Jay L.;University of North Carolina;1966","California State University, East Bay"
"Toombs, Elsie M.;University of Colorado",Alabama A&M University
"Toommanon, Vorasak;Oklahoma State University;1992",Chulalongkorn University
"Topping, Peter;University of North Carolina;1977",Emory University
"Tori, Cynthia R.;University of Kentucky;1992",Valdosta State University
"Tori, Scott;University of Kentucky",Valdosta State University
"Toros, Fernanda;University of Illinois;2003",Virginia Polytechnic Institute and State University
"Torres, Maximilian B.;Harvard University",University of Navarra
"Torres, Paul D.;University of Alabama;1971",University of Southern Mississippi
"Toruno, Mayo C.;University of California, Riverside;1983","California State University, San Bernardino"
"Tosh, Dennis S.;Georgia State University;1980",University of Mississippi
"Tosiello, Rosario J.;Boston University;1971",Pine Manor College
"Tourk, Khairy A.;University of California, Berkeley;1971",Illinois Institute of Technology
"Tournas, Ioannis;Northwestern University;1995",Rutgers University
"Tower, John E.;University at Buffalo;1968",Oakland University
"Tower, Ralph B.;University of North Carolina;1978",Wake Forest University
"Townsend, Dabney;Emory University;1970",Armstrong State University
"Townsend, David C.;Louisiana State University;1953",Sam Houston University
"Townsend, Richard L.;University of Texas at Austin;1972",University of Tennessee
"Trailer, Jeffrey;University of Houston;1995",Penn State Behrend
"Trammell, Michael;Florida State University;1995",Florida State University
"Tran, Trong;Catholic University of America;1991",Southeastern University
"Tranter, Terry;University of Washington;1978",University of Minnesota
"Trapani, John M.;Tulane University;1972",Tulane University
"Tregarthen, Timothy D.;University of California, Davis;1972",University of Colorado Colorado Springs
"Trejos, Sandra;Oklahoma State University;2000",Clarion University of Pennsylvania
"Trela, D. J.;University of Edinburgh",University of Michigan
"Trethewey, Richard L.;University of Washington;1971",Kenyon College
"Tribble, John A.;Utah State University;1975",Russell Sage College
"Tribble, John;Utah State University;1975",Russell Sage College
"Trierweiler, Jack;University of Nebraska;1970",Northern State University
"Trierweiler, John;University of Nebraska;1970",Northern State University
"Trine, J. Arden;University of Illinois;1969","University of Wisconsin, Oshkosh"
"Tripp, Gary;Clark University;1994",Southern New Hampshire University
"Tripp, Gary;Clark University;1995",Southern New Hampshire University
"Tripp, John C.;University of Houston;1980",University of Denver
"Trippeer, Donald R.;University of South Carolina;1993",East Carolina University
"Trongane, Anthony;New York University",Centenary University
"Trost, Albert R.;Washington University in St. Louis;1971",Valparaiso University
"Trost, Alice;Binghamton University;1995",University of Massachusetts
"Trostle, Randolph L.;Lehigh University;1983",Elizabethtown College
"Troyer, Michael D.;Duke University;1975","University of Wisconsin, Green Bay"
"Trubac, Edward R.;Syracuse University;1965",University of Notre Dame
"Truesdell, Marie K.;University of Georgia;1999",Marian College
"Truitt, Terry C.;Mississippi State University;1996",Anderson University
"Truitt, Terry;Mississippi State University;1996",Anderson University
"Trulove, William T.;University of Oregon;1973",Eastern Washington University
"Tsaggari, Harithini;Pennsylvania State University;2000",University of Cyprus
"Tsai, Chih-Yang;New York University;1993",SUNY New Paltz
"Tsay, Bor-Yi;University of Houston;1986","University of Alabama, Birmingham"
"Tsay, Wenyah;University of Utah;1997","California State University, San Marcos"
"Tse, Kwok Sang;Michigan State University;1990",Hong Kong University of Science and Technology
"Tsoukas, Mendimos;University of Manchester;1989",University of Essex
"Tsui, Rebecca;University of Pennsylvania;2000","University of California, Los Angeles"
"Tuck, Bradford H.;Boston University;1973","University of Alaska, Anchorage"
"Tucker, Dean;Michigan State University;1979",Oglethorpe University
"Tucker, Joann;University of North Texas",Shippensburg University
"Tucker, Kent;Alliant International University;1992",New Mexico Highlands University
"Tucker, Michael J.;University of Houston;1980",Quinnipiac College
"Tue, Ngo Tri;Acad Sci;1996",National Economics University
"Tullis, Kim;University of Arkansas;1996",University of Central Oklahoma
"Tully, Paul F.;University of Houston;1980","California State University, Sacramento"
"Turalay, K.;York University",University of Manchester
"Turman, G. Thomas;Virginia Commonwealth University;1995","University of Wisconsin, Oshkosh"
"Turmel, Francine;Universite Laval;1991",Sherbrooke University
"Turner, Craig;University of Tennessee;1999",Florida Institute of Technology
"Turner, Deborah H.;Georgia State University;1985",Georgia Institute of Technology
"Turner, James M.;Georgia State University;1996",Oglethorpe University
"Turner, John;Saint Louis University;1980","University of Colorado, Denver"
"Turner, Keith K.;University of Nebraska;1968",University of Nebraska at Omaha
"Turner, Ralph W.",Florida A&M University
"Turner, Robert G.;University of Kentucky;1969",Florida State University
"Turnovsky, Michelle H. L.;Australian National University;1978",University of Washington
"Turpin, Richard A. (Rick);University of Alabama;1994","University of Tennessee, Chattanooga"
"Turpin, Richard A.;University of Alabama;1994","University of Tennessee, Chattanooga"
"Tustin, Charles O.;Arizona State University;1992",Fort Lewis College
"Twombly, John R.;University of Chicago;1980",Illinois Institute of Technology
"Twombly, John R.;University of Chicago;1990",Illinois Institute of Technology
"Tyler, Thomas P.;University of Arkansas;1980",Arkansas Tech University
"Typpo, Eric W.;Florida State University;1994",University of the Pacific
"Typpo, Eric;Florida State University;1994",University of the Pacific
"Tyurin, K.;Yale University;2003",Indiana University
"Tzannetakis, George;New York University;1964",Seton Hall University
"Uchida, Mark F.;University of Illinois;1976",Butler University
"Uddin, Borhan",Livingstone College
"Udemgba, A. Benedict;Jackson State University",Alcorn State University
"Ueng, C. Joe;Saint Louis University;1995",University of St Thomas Texas
"Uengo-Prado, Maria;Brown University;2000",Northeastern University
"Uhlaner-Hendrickson, Lorrain;University of Michigan;1980",Eastern Michigan University
"Uhlmann, Phillip A.;Tufts University;2002",Bentley College
"Ukpong, Leo;University of Pennsylvania;1994",Morgan State University
"Ulivi, Ricardo M.;University of Arkansas;1981","California State University, Dominguez Hills"
"Ullerich, Stan;Purdue University;1995",Buena Vista University
"Underwood, Julia;1999",Azusa Pacific University
"Underwood, Nora;University of California, Davis;1994",University of Central Florida
"Ung, Alex;University of Kentucky;2000",University of Connecticut
"Unger, Kay C.;Johns Hopkins University;1974",University of Montana
"Unumb, David F.;Loyola University Maryland",Northeastern Illinois University
"Unwalla, Darab B.;Bombay;1957",Florida Atlantic University
"Upchurch, Leo;University of Michigan;1982",Tuskegee University
"Updyke, Karel Ann;Purdue University;1987",Butler University
"Uppal, Joseph;University of California, Irvine",Youngstown State University
"Usher, Leanne;NSU;2004","CUNY, Queens College"
"Utar, Hale;Pennsylvania State University;2006",University of Colorado
"Uzoaru, Benamin;Columbia University;1974",Southeast Missouri State University
"Vacharajittipan, Suchitra;George Washington University;1991",Chulalongkorn University
"Vafaie, Massie S.;University of Cincinnati;1979",Central State University
"Vakulabharanam, Vamsi;University of Massachusetts;2004","CUNY, Queens College"
"Valachi, Donald J.;University of Southern California;1976","California State University, Fullerton"
"Valente, Sharon A.;University of Akron;1997",Ashland University
"Valente, Sharon;University of Akron;1997",Ashland University
"Valentine, Erick G.;University of Memphis;2003",Kansas State University
"Valentine, Jerome L.;University of North Texas;1971",St. Edward's University
"Valluro, Ram;University of Nebraska;2002",University of Nebraska at Kearney
"Vamosi, Alexander;University of North Carolina;1995",College of Wooster
"Van Dongen, William O.;University of North Texas;1981",St. Norbert College
"Van Geem, Henry C.;Texas Tech University;1978",Midwestern State University
"Van Geem, Henry E.;Texas Tech University;1978",Midwestern State University
"Van Ornam, Don;Claremont McKenna College;1995",Southern Adventist University
"Van Wesep, Edward;Michigan State University;2002",Western Michigan University
"Van Wesop, Edward;Michigan State University;2002",Western Michigan University
"VanAuken, Philip Mark;Texas Tech University;1976",Baylor University
"VanBiema, Michael;Columbia University;1990",Columbia University
"VanBreda, Michael F.;Stanford University;1979",Southern Methodist University
"VanBuer, Michael G.;Northwestern University;1992",Loyola University Chicago
"VanDender, Kurt;Katholieke;2001","University of California, Irvine"
"VanDongen, William O.;University of North Texas;1981",St. Norbert College
"VanDusen, Cheryl;University of South Carolina;1997",University of North Florida
"VanDyne, Linn;University of Minnesota;1993",Michigan State University
"VanEaton, R. Douglas;University of Washington;1993",University of North Texas
"VanEynde, Donald F.;Columbia University;1984",Trinity University
"VanFleet, David;University of Tennessee;1969",Arizona State University
"VanHelleman, Johan;Erasmus University Rotterdam;1977",Tilburg University
"VanHise, Joan;New York University;1997",Fairfield University
"VanHorn, Richard;Carnegie Mellon University;1976",University of Oklahoma
"VanLent, Laurence;Tilburg University;1999",Tilburg University
"VanLoo, M. Frances;University of California, Berkeley;1971","University of California, Berkeley"
"VanMaanen, John E.;University of California, Irvine;1972",Massachusetts Institute of Technology
"VanMatre, Joe G.;University of Alabama;1970","University of Alabama, Birmingham"
"VanMatre, Joshep;University of Alabama","University of Alabama, Birmingham"
"VanNess, Bonnie F.;University of Memphis;1995",University of Mississippi
"VanNess, Robert A.;University of Memphis;1996",University of Mississippi
"VanOrnam, Don;Claremont McKenna College;1995",Southern Adventist University
"VanRegenmorter, Robert J.;Oklahoma State University;1973","California State University, Stanislaus"
"VanScotter, James R.;University of Florida;1995",University of Memphis
"VanSell, Mary P.;University of Iowa;1981",Oakland University
"VanVleck, VaNee;University of Iowa","California State University, Fresno"
"VanWyhe, Glenn;University of Washington;1991",Pacific Lutheran University
"VanZante, Neal R.;Oklahoma State University;1976",Texas A&M University–Kingsville
"Vanbuskirk, William R.;Case Western Reserve University;1983",LaSalle University
"Vandenbvroucke, Guillaume;University of Rochester;2004",University of Southern California
"Vander Linde, Scott H.;University of Notre Dame;1989",Calvin College
"VanderVeen, Jan;Cornell University;1972",University of Puget Sound
"Vanderhoff, Irwin T.;New York University;1987",New York University
"Vanderveide, Scott;University of Iowa;2002",University of South Carolina
"Vandewetering, Hylke;Iowa State University;1964",Iowa State University
"Vanover, Donald A.;Southern Illinois University;1976","University of Illinois, Springfield"
"Vanscyoc, Lee;University of Nebraska;1987","University of Wisconsin, Oshkosh"
"Vargo, Richard J.;University of Washington;1969",University of the Pacific
"Varin, Dennis L.;Oregon State University;1975",Southern Oregon University
"Varjavand, Reza;University of Oklahoma;1983",Saint Xavier University
"Varma, Ranbir;The New School;1957",Long Island University
"Varzandeh, Javad;Oklahoma State University;1981","California State University, San Bernardino"
"Vaughan, Ben F.;University of California, Berkeley;1997",Texas Lutheran University
"Vaughan, D. Michael;Texas Tech University;1970",Colorado State University
"Vaughan, Emmett J.;University of Nebraska;1963",University of Iowa
"Vaughn, Timothy;University of Iowa;1988","University of Wisconsin, Eau Claire"
"Vazzana, Caryn;Purdue University;2003",Berea College
"Vd Grinten, P.M.E.M.;University of Eindhoven;1962",Maastricht University
"Veazey, Richard E.;Saint Louis University;1981",Grand Valley State University
"Veda, Masako;University of Tokyo;1997",Pompeu Fabra University
Vedd Rishma;University of Dundee,University College of Cariboo
"Vedran, Lelas;University of Texas at Austin;1999",University of Connecticut
"Vegso, Raymond W.;University of Cincinnati;1975",Canisius College
"Velayuthum, Siva Kumar;Massey University;1997",University of Sharjah
"Velez-Iranez, Carlos;University of California, San Diego;1974","University of California, Riverside"
"Vellenga, Daniel R.;Michigan State University;1974","California State University, Stanislaus"
"Venable, Carol F.;University of Arizona;1988",San Diego State University
"Vencill, C. Daniel;Stanford University;1971",San Francisco State University
"Venkataraman, Ram;Pennsylvania State University;2001",University of Minnesota
"Venkataramanyu, Sivakumar;University of Miami;1997",Ashland University
"Venkatesan, Madavi;Vanderbilt University",Fisk University
"Venkatraman, Santash;Texas A&M University;1991","University of Arkansas, Little Rock"
"Venkatswaran, Anand;Georgia State University;2004",Northeastern University
"Venuti, Elizabeth K.;Columbia University;1997",Hofstra University
"Venuti, Elizabeth;Columbia University;1997",Hofstra University
"Vereschagina, Galina;CERGE-EI;2004",University of Iowa
"Vergin, Roger V.;University of Minnesota;1964",American College
"Vernarelli, Michael J.;Binghamton University;1978",Rochester Institute of Technology
"Verney, Thomas P.;Bowling Green State University;1977",Shippensburg University
"Vernooij, A. T. J.;Erasmus University Rotterdam;1993",Free University Amsterdam
"Veronneau, Pierre;Universite de Montreal",University of Quebec in Montreal
"Verser, Gertrude;Harvard University;1978",Western Michigan University
"Verson, John;University of Pennsylvania;2000",University of Connecticut
"Versteeg, Jennie G.;Clark University;1974",Saint Michael's College
"Verstraete, Anthony A.;Pennsylvania State University;1978",Pennsylvania State University
"Vessal, Ahmad;Clark University;1978",Mount St. Mary's College 
"Vessel, Herbert;University of Missouri;1986",Southern University and A&M College
"Veuleman, Malcolm W.;University of Arkansas;1971",Lamar University
"Vezine, Martine;ESSEC",HEC Montreal
"Villadsen, Bente;Yale University;1994",University of Iowa
"Villanueva, Oswaldo;Ohio State University;1999",University of Wyoming
"Villarreal, John J.;CUNY;1972","California State University, East Bay"
"Villeneuve, Guy;Universite Laval",University of Quebec in Montreal
"Villinski, Michele;University of Minnesota;2003",DePauw University
"Violante, Gianluca;University of Pennsylvania;1997",New York University
"Violette, George R.;Arizona State University;1987",University of Southern Maine
"Virtanen, Kalervo;HSE;1980",Helsinki School of Economics
"Virtanen, Kalervo;HSEBA;1980",Helsinki School of Economics
"Visgilio, Gerald R.;University of Rhode Island;1973",Connecticut College
"Visse, Richard H.;Arizona State University;1974",Portland State University
"Vit, Greg;Bournemouth University",Bishop's University
"Vizarra, Catalina;University of Illinois",University of Vermont
"Vlasenko, Polina;University of Maryland, College Park;2004",Manchester College (Indiana)
"Vlotman, Fred;University of Amsterdam;1981",Tilburg University
"Vo, Han X.;University of Tennessee;1979",Winthrop University
"Voege, Herbert W.;University of Michigan;1971",Ferris State University
"Voicu, Alex;Rutgers University;2001","CUNY, College of Staten Island"
"Voicu, Avna;Birmingham University;2000",Rollins College
"Volk, Gary A.;University of Nebraska;1986",Wayne State University
"Vollmers, A. Clyde;Michigan State University;1980",Minnesota State University Moorhead
"Volpe, Ronald P.;University of Pittsburgh;1975",Youngstown State University
"VonBergen, C. W.;Purdue University;1974",Southeastern Oklahoma State University
"VonGlinow, MaryAnn;Ohio State University;1978",Florida International University
"VonHagen, Jurgen;University of Bonn;1986",Indiana University
"VonStroh, Gordon E.;University of Oklahoma;1967",University of Denver
"Vopel, Ronald P.;University of Pittsburgh;1975",Youngstown State University
"Vor der Landwehr, Dale;Wayne State University;1974",Thunderbird School of Global Management
"Vorst, Karen S.;Indiana University;1980",University of Missouri–Kansas City
"Vorwerk, Richard;Indiana University;1971",Governors State University
"Voth, Richard T.;Arizona State University;1973",Pacific Union College
"Voth, Richard;Arizona State University;1973",Pacific Union College
"Voth, Richard;Arizona State University;1974",Pacific Union College
"Vrancken, Robert;University of Notre Dame;1984",Grand Valley State University
"Vreeland, Jannet M.;Texas A&M University;1992","University of Nevada, Reno"
"Vrooman, David M.;Northwestern University;1975",Wittenberg University
"Vruwink, David R.;University of Arkansas;1982",Kansas State University
"Vyas, Niren M.;University of South Carolina;1981",University of South Carolina Aiken
"Vytacil, Edward;University of Chicago;2000",Columbia University
"Wachspress, David P.;New York University;1973",New Jersey Institute of Technology
"Wachter, Daniel R.;Purdue University;1982",DePauw University
"Wacker, Raymond F.;University of Houston;1989",Southern Illinois University
"Waddington, Barbara A.;Michigan State University;1997",Eastern Michigan University
"Waddington, Barbara;Michigan State University;1997",University of Michigan
"Waddington, Cheryl;University of Nebraska;2001",Wayne State University
"Wade, J.;Stanford University;1972",San Francisco State University
"Wadsworth, Richard B.;University of Arizona;1969","University of Texas, San Antonio"
"Waggle, J. Douglas;University of Alabama;1994",Berry College
"Wagman, George;Texas A&M University;1984",Texas A&M University–Kingsville
"Wagner, Bradley W.;University of Nebraska;1994",Fort Lewis College
"Wagner, Samuel;University of Pennsylvania;1971",Franklin & Marshall College
"Wahba, Mohamed;Pennsylvania State University;1980",Hofstra University
"Wakeman, Douglas J.;University of North Carolina;1986",Meredith College
"Wakeman, Douglas;University of North Carolina;1986",Meredith College
"Waldman, Erwin",Monash University
"Waldron, Kathy",Long Island University
"Waldron, Randall;Vanderbilt University;1994",University of South Dakota
"Walgreen, John A.;Boston College;1965","Wheaton College, MA"
"Walgren, Blaine;University of Washington;1993","California State University, Fullerton"
"Walka, Joseph J.;Harvard University;1969",Northern Arizona University
"Walker, Craig;Southern Methodist University;1996",Delta State University
"Walker, Edward R.;University of Houston;1996","University of Texas, Pan American"
"Walker, G. Craig;Southern Methodist University;1996",Oklahoma Baptist University
"Walker, John P.;University of Cincinnati;1976","CUNY, Queens College"
"Walker, Larry R.;Temple University;1981",Cleveland State University
"Walker, Lawrence C.;Texas A&M University;1972",Texas A&M University
"Walker, Moses;Iowa State University;1983",Fayetteville State University
"Wall, Lida;Ohio State University",Eastern Illinois University
"Wallace, Richard M.;University of South Carolina;1981",Wofford College
"Wallace, Robert B.;Northwestern University;1972",Framingham State College
"Wallace, Robert;Northwestern University;1972",Framingham State College
"Waller, Robert L.;Boston University;1986",U.S. Air Force Academy
"Wallschlaeger, Michael;University of Wisconsin, Madison","University of Wisconsin, Superior"
"Walo, Judith C.;Michigan State University;1990",Central Connecticut State University
"Walsh, J. T.;Union Graduate College",Capital University
"Walsh, William J.;Indiana University;1986",Illinois Wesleyan University
"Walsh, William J.;University of Notre Dame;1970",University of St Thomas Minnesota
"Walters, Kenneth D.;University of California, Berkeley;1972",University of Washington Bothell
"Walters-York, L. Melissa;University of Central Florida;1993",University of New Mexico
"Walton, Gary M.;University of Washington;1966","University of California, Davis"
"Walton, H. Charles;Florida State University;1981",Gettysburg College
"Walton, Karen;Kent State University;1991",John Carroll University
"Waltzman, Norman J.;American College;1988",University of Utah
"Wan, Siaw Peng;University of Illinois, Chicago;1993",Elmhurst College
"Wan, Siaw Peng;University of Illinois;1995",Elmhurst College
"Wan, Siaw-Peng;University of Illinois;1994",Elmhurst College
"Wang, C. J.;University of Rhode Island;1986",Sacred Heart University
"Wang, Chena;University of Western Ontario;1994",Iowa State University
"Wang, Chih-Kang;Texas A&M University;1978",National University of Singapore
"Wang, Fu-Kuo;University of North Carolina;1994",Rice University
"Wang, Hong;Michigan State University;1996",Washington State University
"Wang, Hong;Ohio State University;1998",Wright State University
"Wang, J. Zhen;University of New Orleans;1997",Laurentian University
"Wang, Jun (Jonathan);Georgia State University;1997","CUNY, Baruch College"
"Wang, Liguan;Duke University",St. Ambrose University
"Wang, Se-Shih;Drexel University;2001",Rowan University
"Wang, Tay-Chang;University of Pennsylvania;1988",National Taiwan University
"Wang, Ting (TJ);Rutgers University;1999","University of Wisconsin, Milwaukee"
"Wang, Ting;Rutgers University;1999","University of Wisconsin, Milwaukee"
"Wang, Wen-Ying;Hitotsubashi University;1998",National Chengchi University
"Ward, Bill L.;University of Alabama;1985",University of West Alabama
"Ward, D. Dewey;University of Texas at Austin;1979",Michigan State University
"Ward, Dean;University of Virginia;1987",Calvin College
"Ware, Fred A.;Georgia State University;1974",Valdosta State University
"Warfel, William J.;Indiana University;1990",Indiana State University
"Warner, Lori;University of Utah;1986",University of the Pacific
"Warner, Paul D.;New York University;1981",Hofstra University
"Warnock, Stuart;University of North Texas;1996",Colorado State University Pueblo
"Warrack, Brian D.;University of Alberta;1974",Wilfrid Laurier University
"Warren, Carl S.;Michigan State University;1973",University of Georgia
"Warren, J. Harold;Oklahoma State University;1969",East Tennessee State University
"Warren, Shainne;University of Utah",Ithaca College
"Warschauer, Thomas M.D.;University of Colorado;1971",San Diego State University
"Washam, James O.;University of Mississippi;1993",Arkansas State University
"Washburn, Paul V.;Ohio State University;1974","California State University, Los Angeles"
"Washington, Arthur",Florida A&M University
"Washington, Sandra;Cornell University;1999",John Carroll University
"Wassom, John C.;Indiana University;1970",Western Kentucky University
"Wasson, E. Dale;Oklahoma State University;1980",Missouri State University
"Watanabe, Judith E.;University of Nebraska;1985",University of Nebraska at Omaha
"Watanabe, Mashiro;Yale University;2003",Rice University
"Watanabe, Shin-ichiro;Cornell University;1994",University of Tsukuba
"Waterhouse, John H.;University of Washington;1972",Simon Fraser University
"Waterhouse, John;University of Washington;1972",Simon Fraser University
"Watiins, Boyce;Ohio State University;2002",Syracuse University
"Watkins, Herbert N.;University of Wisconsin, Madison;1970",Alabama State University
"Watkins, Thayer H.;University of Colorado;1965",San Jose State University
"Watne, Donald A.;University of California, Berkeley;1977",Portland State University
"Watson, James O.;Purdue University;1976",Millikin University
"Watts, William;University of Iowa;1966","University of Texas, Permian Basin"
"Wayle, Wayne-Roy;University of Pittsburgh;2006",University of Virginia
"Weatherford, Alan M.;University of Texas, Dallas;1986",California Polytechnic State University
"Weatherwax, Roy C.;University of Wisconsin, Madison;1974","University of Wisconsin, Whitewater"
"Webb, Juliette Adams;Arizona State University;2001",Naval Postgraduate School
"Weber, Carlene E.;Northern Illinois University;1991","California State University, Bakersfield"
"Weber, Joseph A.;University of Minnesota;1984",University of Montana
"Weber, Myron;University of Minnesota;1986",University of Calgary
"Webster, Stuart K.;University of Iowa;1975",University of Wyoming
"Wee, Warren Y. F.;University of Washington;1982",Hawaii Pacific University
"Wee, Warren;University of Washington;1982",Hawaii Pacific University
"Weeks, Benjamin O.;University of Mississippi;1973",Saint Xavier University
"Wehrley, James",High Point University
"Wei, Che-Yung;Texas A&M University;1987",University of Notre Dame
"Wei, Dan;University of Texas at Austin;2002",Binghamton University
"Wei-kuang, Huang;Rutgers University;1998",University of Connecticut
"Weigand, Pamela;Arizona State University;1991",Eastern Washington University
"Weiler, John E.;University of Cincinnati;1973",University of Dayton
"Weill, Pierre-Oliver;Stanford University;2003",New York University
"Weiner, David P.;University of Michigan;1972",University of San Francisco
"Weinman, Geoffrey",Fairleigh Dickinson University
"Weinstein, Marc;Massachusetts Institute of Technology;1996",Case Western Reserve University
"Weirick, William;University of Wyoming",University of Louisiana at Monroe
"Weis, Charles E.;Arizona State University;1974",Tennessee State University
"Weis, nitzan;Columbia University",New York Institute of Technology
"Weisenfeld, Batia;Columbia University;1996",New York University
"Weiser, Lawrence A.;University of Wisconsin, Madison;1967","University of Wisconsin, Stevens Point"
"Weisinger, Judy;Case Western Reserve University;1997",Northeastern University
"Weiss, Jeffrey;Harvard University;1967",Empire State College
"Weiss, Merle;Columbia University;1967",Temple University
"Weiss, Nitzan;Columbia University;1967",New York Institute of Technology
"Welch, Ben D.;Texas A&M University;1990",Texas A&M University
"Welch, Kelly D.;University of Chicago;1997",University of Kansas
"Welch, Kelly;University of Chicago;1997",University of Kansas
"Welch, Orien J.;University of Memphis;1995",St. Mary's University
"Welch, Robert G.;Oregon State University;1962",Midwestern State University
"Wells, Arnold R.;University of Minnesota;1966","Minnesota State University, Mankato"
"Wells, Connie E.;University of Minnesota;2000",Roosevelt University
"Wells, Robin;University of California, Berkeley;1989",Massachusetts Institute of Technology
"Wells, Stuart Jay;Stanford University;1974",San Jose State University
"Wentzel, Kristin;Temple University;1998",Drexel University
"Werger, Jennie;University of North Carolina;1996",University of North Texas
"Werner, James M.;University of Utah;1996",College of Wooster
"Wescott, Shari H.;University of South Carolina;1982",Houston Baptist University
"Wesman, Elizabeth;Cornell University;1982",Syracuse University
"Wesson, Thomas;Harvard University",York University
"West, E.;Iowa State University",University of Windsor
"West, James S.;University of Nebraska;1997",Washington & Jefferson College
"West, Jude P.;University of Iowa;1969",University of Iowa
"Westbrook, L. Curtis;University of Georgia;1992","California State University, San Bernardino"
"Westelius, Niklas J.;Columbia University;2002","CUNY, Hunter College"
"Westerfield, Donald;Saint Louis University;1984",Webster University
"Westerhold, Tara D.;University of South Carolina;1998",Western Illinois University
"Weston, Rafael R.;Harvard University;1972",Adams State University
"Weston, Samuel C.;University of Pittsburgh;1987",University of Dallas
"Whalen, Thaddeus J. Jr.;University of California, Berkeley;1964",Santa Clara University
"Whaley, George;University of Colorado;1974",San Jose State University
"Whang, Yong-Ho;Hanyang University;1982",Dongguk University
"Wharton, Robert;Rutgers University;1988",Western Kentucky University
"Whba, Sami;Sterling;1980",Kuwait University
"Wheeler, Bert G.;University of Tennessee;1985",Cedarville University
"Wheeler, Bert;University of Tennessee;1985",Cedarville University
"Wheeler, Ed R.;University of Virginia;1973",Armstrong State University
"Whelan, Dennis;Syracuse University;2000",Western New England College
"Whetstone, Tom;University of Oxford;1996",Jacksonville University
"Whitaker, Andrew L.;University of Illinois;1988",North Central College
"Whitaker, David A.;University of Florida;1971",University of Richmond
"Whitaker, Gilbert R. Jr.;University of Wisconsin, Madison;1961",Rice University
"Whitaker, Gilbert R.;University of Wisconsin, Madison;1961",Rice University
"White, Alan R.;University of North Carolina;1981",East Carolina University
"White, Alisa;University of Tennessee;1990","University of Texas, Tyler"
"White, Carl;University of Nebraska;1997",University of Redlands
"White, Charles E.;University of Chicago;1981",Framingham State College
"White, Charles V. A.;Ohio State University;1973",Southern New Hampshire University
"White, Charles V.;Ohio State University;1973",Southern New Hampshire University
"White, Charles;University of Chicago;1981",Framingham State College
"White, Ellen E.;Florida State University;1985",University of New Orleans
"White, Gary A.;University of Iowa;1992",Chadron State College
"White, Godwin T. (Tom);Virginia Polytechnic Institute and State University;1984",College of William & Mary
"White, Godwin T.;Virginia Polytechnic Institute and State University;1984",College of William & Mary
"White, Jason T.;University of Missouri–Kansas City;2003",Northwest Missouri State University
"White, John H.;Colorado School of Mines",University of Denver
"White, John H.;Colorado School of Mines;1996",University of Denver
"White, Marta S.;Florida State University;1992",Georgia State University
"White, Steve;University of Kentucky;1974",Kansas State University
"White-Hunt, Keith",Massey University
"Whited, Ida;Claremont McKenna College;2000",Colorado State University Pueblo
"Whitesell, Frank Cook;Tulane University;1971",University of Southern Mississippi
"Whitesell, William E.;University of Texas at Austin;1963",Franklin & Marshall College
"Whitlock, David W.;University of Oklahoma;1995",Southwest Baptist University
"Whitman, Raymond D.;Columbia University;1971",University of the District of Columbia
"Whitmire, Ray E.;University of Texas at Austin;1975",Texas A&M University–Corpus Christi
"Whittaker, Victor A.;University of Illinois;1971",Morgan State University
"Whittenlas, John;University of Cape Town",Lancaster University
"Whittred, Gregory P.;University of New South Wales;1986",Australian Graduate School of Management
"Wick, Madalyn;University of Nebraska;1993",Bemidji State University
"Wickham, William T.;Case Western Reserve University;1956",Heidelberg College
"Widener, Steven;University of New Hampshire;1988",Southern New Hampshire University
"Wiegersma, Nancy A.;University of Maryland, College Park;1976",Fitchburg State College
"Wigal, Kathy;Northern Arizona University;1997",Arizona State University
"Wilch, Kathleen;University of Toledo;1998",Georgia Southwestern State University
"Wilde, Harold H.;University of Nebraska;1981",University of North Dakota
"Wilguess, John H.;University of Arkansas;1979",Oklahoma State University
"Wilkicki, Kathryn J.;University of Connecticut;1997",Roger Williams University
"Wilkie Jr., Macil C.;Louisiana State University;1968",Grambling State University
"Wilkie, Macil C. Jr.;Louisiana State University;1968",Grambling State University
"Wilkie, Patrick J.;University of Michigan;1984",George Mason University
"Wilkie, R. Sue Legge;University of Mississippi;1988",University of Mississippi
"Williams CSC, Oliver F.;Vanderbilt University;1974",University of Notre Dame
"Williams, Alfred;Georgia State University;1973","University of Louisiana, Lafayette"
"Williams, DeEdgra;Florida State University;2006",Florida A&M University
"Williams, Earl R.;University of Tennessee;1968",Northeastern State University
"Williams, Edward E.;Drexel University;1975",Cheyney University of Pennsylvania
"Williams, Eugene;University of Arkansas;1971",McMurry University
"Williams, Gerry;Northwestern University;1988",William Jewell College
