dep,name,rank,area,degree,grad_year,school,since,annotation
U of Arkansas at Pine Bluff,"Burkett, Evelyn",Asst,,MA,,Houston,,
U of Arkansas at Pine Bluff,"Diagne, Assane",Asst,,PHD,96,LSU,,
Arkansas State University,"Duggar, Jan W.",Dean,G,PHD,67,Fla St,2000,
Arkansas State University,"Seydel, John",C-Ac,,PHD,91,Tx A&M,1995,
Arkansas State University,"Brown, Christopher R.",Prof,AEKM,PHD,89,Tennessee,1990,
Arkansas State University,"Crawford, Jerry L.",Prof,ADTM,PHD,69,Arkansas,1966,
Arkansas State University,"Dale, Lawrence Raymond",Prof,ABPQ,PHD,79,Ohio U,1986,
Arkansas State University,"Kesselring, Randall G.",Prof,ACJF,PHD,80,Oklahoma,1984,
Arkansas State University,"Latanich, Gary A.",Prof,AREM,PHD,78,Nebraska,1981,
Arkansas State University,"Marburger, Daniel R.",Prof,AJMD,PHD,89,Ariz St,1989,
Arkansas State University,"Guha, Gauri-Shankar",Asst,ACFQ,PHD,2,Penn St,2001,
Arkansas Tech University,"Tyler, Thomas P.",Dean,,PHD,80,Arkansas,1967,
Arkansas Tech University,"Mason, Kevin H.",H-Pr,Mkt,PHD,95,Arkansas,1986,
Arkansas Tech University,"Cole, Raymond E.",Prof,,PHD,76,Arkansas,1970,
Arkansas Tech University,"Moore, Joseph L.",Prof,,PHD,75,Arkansas,1988,
Arkansas Tech University,"Smith, Richard S.",Prof,,PHD,74,Tx-Austin,1991,
Arkansas Tech University,"Benefield, Michael E.",Assoc,,PHD,89,Purdue,1995,
Armstromg Atlantic St Univ,"Wheeler, Ed R.",Dean,Math,PHD,73,Virginia,1987,
Armstromg Atlantic St Univ,"Saadatmand, Yassaman",H,FO,PHD,88,NewHamp,1989,
Armstromg Atlantic St Univ,"Cebula, Richard J.",Prof,EDR,PHD,71,Geo St,1999,Eminent Scholar in Economics
Armstromg Atlantic St Univ,"McGrath, Richard",Assoc,DHG,PHD,97,Virginia,1997,
Armstromg Atlantic St Univ,"Toma, Michael",Assoc,RE,PHD,96,GeoMason,1997,
Armstromg Atlantic St Univ,"Weinbach, Andrew",Asst,LDG,ABD,,Clemson,2001,
Ashland University,"Sears, Paul A.",Dean,,PHD,90,Case Wes,8-97,
Ashland University,"Nadler, Mark A.",C-Ac,,PHD,83,Iowa St,1989,A. L. Garber Family Chair of Economics
Ashland University,"Rafeld, Frederick J.",Prof,,PHD,68,Ohio St,9-70,
Ashland University,"Garcia, Javier F.",Assoc,,JD,,Akron,1980,
Ashland University,"Rogers, Robert P.",Assoc,,PHD,83,Geo Wash,1993,
Ashland University,"Wasnich, Wendy S.",Asst,,MA,,Ohio St,1985,
Assumption College,"Hickey, Kevin L.",C-Ac,,MLA,76,Harvard,1972,
Assumption College,"Fahy, Colleen A.",Assoc,HLCD,PHD,89,SUNY-Bin,1994,
Assumption College,"Kantarelis, Demetrius",Assoc,DCKL,PHD,83,Clark,1983,
Assumption College,"Lynn, Stuart R.",Assoc,DBFO,PHD,71,N Carol,1987,
Assumption College,"White, Thomas J.",Assoc,EGQR,PHD,89,SUNY-Bin,1995,
Assumption College,"McGee, C. Dylan",Asst,EFG,PHD,1,N Carol,2001,
Assumption College,"Charlebois, Cecile M.",Lect,AHJ,ABD,,Clark,1980,
Athens State University,"Gulbro, Robert D.",Dean,Mgt,DBA,91,Miss St,1994,
Athens State University,"Wilkes, William",Assoc,AFJ,DA,98,Mid Tenn,1996,
Auburn University,"Jahera, John S. Jr.",Dean$,Fnce,PHD,81,Georgia,9-80,
Auburn University,"Long, James E.",H-Pr$,HJ,PHD,74,Fla St,1974,
Auburn University,"Beard, Thomas Randolph",Prof,LD,PHD,88,Vanderbilt,1988,
Auburn University,"Caudill, Steven B.",Prof,CG,PHD,82,Florida,1981,
